"Beta-Plus Decay Q Values"
 23, 21,4
 22, 22,0
 21, 23,5
 20, 24,5
 19, 25,5
 31, 14,0
 30, 15,0
 29, 16,0
 28, 17,0
 27, 18,0
 26, 19,0
 25, 20,0
 24, 21,0
 23, 22,4
 22, 23,5
 21, 24,5
 20, 25,5
 19, 26,5
 31, 15,0
 30, 16,0
 29, 17,0
 28, 18,0
 27, 19,0
 26, 20,0
 25, 21,2
 24, 22,0
 23, 23,5
 22, 24,5
 21, 25,5
 20, 26,5
 32, 15,0
 31, 16,0
 30, 17,0
 29, 18,0
 28, 19,0
 27, 20,0
 26, 21,0
 25, 22,0
 24, 23,4
 23, 24,5
 22, 25,5
 21, 26,5
 20, 27,5
 32, 16,0
 31, 17,0
 30, 18,0
 29, 19,0
 28, 20,0
 27, 21,0
 26, 22,0
 25, 23,4
 24, 24,3
 23, 25,5
 22, 26,5
 21, 27,5
 20, 28,5
 33, 16,0
 32, 17,0
 31, 18,0
 30, 19,0
 29, 20,0
 28, 21,0
 27, 22,0
 26, 23,0
 25, 24,4
 24, 25,5
 23, 26,5
 22, 27,5
 21, 28,5
 33, 17,0
 32, 18,0
 31, 19,0
 30, 20,0
 29, 21,0
 28, 22,0
 27, 23,4
 26, 24,0
 25, 25,5
 24, 26,5
 23, 27,5
 22, 28,5
 34, 17,0
 33, 18,0
 32, 19,0
 31, 20,0
 30, 21,0
 29, 22,0
 28, 23,0
 27, 24,0
 26, 25,4
 25, 26,5
 24, 27,5
 23, 28,5
 34, 18,0
 33, 19,0
 32, 20,0
 31, 21,0
 30, 22,0
 29, 23,0
 28, 24,0
 27, 25,5
 26, 26,4
 25, 27,5
 24, 28,5
 23, 29,5
 35, 18,0
 34, 19,0
 33, 20,0
 32, 21,0
 31, 22,0
 30, 23,0
 29, 24,0
 28, 25,0
 27, 26,4
 26, 27,5
 25, 28,5
 24, 29,5
 35, 19,0
 34, 20,0
 33, 21,0
 32, 22,0
 31, 23,0
 30, 24,0
 29, 25,2
 28, 26,0
 27, 27,5
 26, 28,5
 25, 29,5
 24, 30,5
 36, 19,0
 35, 20,0
 34, 21,0
 33, 22,0
 32, 23,0
 31, 24,0
 30, 25,0
 29, 26,0
 28, 27,4
 27, 28,5
 26, 29,5
 25, 30,5
 37, 19,0
 36, 20,0
 35, 21,0
 34, 22,0
 33, 23,0
 32, 24,0
 31, 25,0
 30, 26,0
 29, 27,5
 28, 28,4
 27, 29,5
 26, 30,5
 25, 31,5
 37, 20,0
 36, 21,0
 35, 22,0
 34, 23,0
 33, 24,0
 32, 25,0
 31, 26,0
 30, 27,0
 29, 28,4
 28, 29,5
 27, 30,5
 26, 31,5
 38, 20,0
 37, 21,0
 36, 22,0
 35, 23,0
 34, 24,0
 33, 25,0
 32, 26,0
 31, 27,4
 30, 28,0
 29, 29,5
 28, 30,5
 27, 31,5
 26, 32,5
 38, 21,0
 37, 22,0
