At. num | Sp. Name      | Ion Charge | El. Name     | Isoel. Seq. | Ground Shells (a)    | Ground Level       | Ionized Level                      |      Ionization Energy (b) (eV)       | References
--------|---------------|------------|--------------|-------------|----------------------|--------------------|------------------------------------|---------------------------------------|--------------------
      1 | H I           |          0 | Hydrogen     | H           | 1s                   | 2S<1/2>            |                                    |           (13.598434005136(12))       |               HDEL
      2 | He I          |          0 | Helium       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |            24.587387936(25)           |             L17714
      2 | He II         |         +1 | Helium       | H           | 1s                   | 2S<1/2>            |                                    |           (54.417763110(25))          |           L7188c95
      3 | Li I          |          0 | Lithium      | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |             5.391714761(22)           |             L12261
      3 | Li II         |         +1 | Lithium      | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |           [75.6400937(12)]            |             L10054
      3 | Li III        |         +2 | Lithium      | H           | 1s                   | 2S<1/2>            |                                    |          (122.45435380(25))           |           L3620c96
      4 | Be I          |          0 | Beryllium    | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |             9.3226990(70)             |              L5964
      4 | Be II         |         +1 | Beryllium    | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |            18.211153(40)              |             L12158
      4 | Be III        |         +2 | Beryllium    | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |          [153.8961980(40)]            |             L10054
      4 | Be IV         |         +3 | Beryllium    | H           | 1s                   | 2S<1/2>            |                                    |          (217.7185766(10))            |           L3620c97
      5 | B I           |          0 | Boron        | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |             8.2980190(30)             |             L12312
      5 | B II          |         +1 | Boron        | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |            25.154830(50)              |             L12120
      5 | B III         |         +2 | Boron        | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |            37.930580(70)              |             L12547
      5 | B IV          |         +3 | Boron        | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |           259.3715(25)                |             L12548
