37K;0.0;3/2+;0.0;1.225;[Decimal('0.007'), Decimal('0.007')];0+
37K;1370.85;1/2+;0.02;5.2E-11;[Decimal('5.1E-11'), Decimal('5.1E-11')];0+
37K;1380.25;7/2-;0.03;1.04E-8;[Decimal('5E-10'), Decimal('5E-10')];0+
37K;2170.18;3/2-;0.13;1.04E-13;[Decimal('6.9E-14'), Decimal('3.1E-14')];0+
37K;2285.24;(5/2+,7/2+);0.12;2.43E-13;['GT'];0+
37K;2750.22;5/2+;0.08;1.4E-15;[Decimal('3E-16'), Decimal('3E-16')];0+
37K;2967.0;;2.0;-1;[0];0+
37K;3081.99;5/2-;0.09;7E-15;[Decimal('3E-15'), Decimal('3E-15')];0+
37K;3239.5;5/2+;0.2;9.7E-14;[Decimal('2.8E-14'), Decimal('2.8E-14')];0+
37K;3272.0;;2.0;-1;[0];0+
37K;3315.0;3/2-;1.7;2.073807992500610103818181818E-19;[Decimal('2.827919989773562040681890724E-20'), Decimal('2.827919989773562040681890724E-20')];0+
37K;3622.8;3/2+;2.0;-1;[0];0+
37K;3839.0;1/2+,3/2+,5/2+;3.0;-1;[0];0+
37K;3853.0;;3.0;-1;[0];0+
37K;3900.0;;0.0;-1;[0];0+
37K;3962.0;;15.0;4.5623775835013422284E-20;[Decimal('1.824951033400537101975191391E-20'), Decimal('1.824951033400537101975191391E-20')];0+
37K;4001.0;1/2-;4.0;1.3035364524289549224E-20;[0];0+
37K;4018.0;;5.0;-1;[0];0+
37K;4127.0;;15.0;-1;[0];0+
37K;4192.0;(1/2,3/2,5/2);9.0;-1;[0];0+
37K;4281.0;;19.0;-1;[0];0+
37K;4412.8;(1/2,3/2,5/2)+;1.3;-1;[0];0+
37K;4413.2;7/2+;0.4;2.1E-15;['LT'];0+
37K;4432.6;3/2;0.3;3.5E-15;['LT'];0+
37K;4500.0;1/2+;4.0;9.1247551670026844568E-19;[Decimal('5.474853100201610954900255188E-19'), Decimal('5.474853100201610954900255188E-19')];0+
37K;4583.0;1/2-;3.0;5.496840462049809913734939759E-21;[Decimal('7.284969287053972604648007986E-22'), Decimal('7.284969287053972604648007986E-22')];0+
37K;4669.6;;0.8;5.7029719793766777855E-19;['LT'];0+
37K;4692.0;(7/2)+;9.0;-1;[0];0+
37K;4721.0;1/2:7/2+;0.0;-1;[0];0+
37K;4732.2;7/2+;0.4;4.2E-15;['LT'];0+
37K;4737.9;(5/2-,7/2);0.6;1.5207925278337807428E-18;['LT'];0+
37K;4814.8;5/2+;0.8;1.5207925278337807428E-18;['LT'];0+
37K;4842.6;3/2+,5/2+;0.6;2.2811887917506711142E-18;[Decimal('9.124755167002685509875956955E-19'), Decimal('9.124755167002685509875956955E-19')];0+
37K;5018.9;3/2+;1.1;3.509521218077955560307692308E-19;[Decimal('2.699631706213820394075111264E-20'), Decimal('2.699631706213820394075111264E-20')];0+
37K;5049.8;3/2+;0.8;1.1405943958753355571E-17;[Decimal('1.425742994844171131296531129E-18'), Decimal('1.425742994844171131296531129E-18')];0+
37K;5120.2;1/2+;1.6;2.2811887917506711142E-18;[Decimal('1.140594395875335641346076557E-18'), Decimal('1.140594395875335641346076557E-18')];0+
37K;5134.0;5/2-;4.0;9.1247551670026844568E-19;[Decimal('3.649902066801074203950382782E-19'), Decimal('3.649902066801074203950382782E-19')];0+
