40K;0.0;4-;0.0;3.9356928E+16;[Decimal('94.608'), Decimal('94.608')];0+
40K;29.8299;3-;0.0005;4.25E-9;[Decimal('6E-11'), Decimal('6E-11')];0+
40K;800.1431;2-;0.0019;2.6E-13;[Decimal('5E-14'), Decimal('5E-14')];0+
40K;891.394;5-;0.019;8.3E-13;[Decimal('1.8E-13'), Decimal('1.8E-13')];0+
40K;1643.638;0+;0.011;3.36E-7;[Decimal('1.3E-8'), Decimal('1.3E-8')];0+
40K;1959.071;2+;0.011;5.4E-13;[Decimal('8E-14'), Decimal('8E-14')];0+
40K;2047.338;2-;0.016;3.2E-13;[Decimal('5E-14'), Decimal('5E-14')];0+
40K;2069.802;3-;0.02;4.3E-13;[Decimal('1.2E-13'), Decimal('1.2E-13')];0+
40K;2103.68;1-;0.03;4.6E-13;[Decimal('9E-14'), Decimal('9E-14')];0+
40K;2260.48;3+;0.03;6.5E-14;[Decimal('1.4E-14'), Decimal('1.4E-14')];0+
40K;2289.868;1+;0.011;8.6E-14;[Decimal('1.9E-14'), Decimal('1.9E-14')];0+
40K;2290.551;3-;0.022;1.5E-13;[Decimal('3E-14'), Decimal('3E-14')];0+
40K;2385.0;+;10.0;-1;[0];0+
40K;2397.19;4-;0.025;3.5E-14;[Decimal('1.4E-14'), Decimal('1.4E-14')];0+
40K;2419.16;2-;0.015;5.5E-13;[Decimal('1.6E-13'), Decimal('1.1E-13')];0+
40K;2423.7;;0.8;-1;[0];0+
40K;2542.79;7+;0.11;1.09E-9;[Decimal('7E-11'), Decimal('7E-11')];0+
40K;2558.1;;1.0;-1;[0];0+
40K;2575.93;2+;0.03;1.55E-13;[Decimal('2.6E-14'), Decimal('2.6E-14')];0+
40K;2626.0;0-;0.03;2.2E-13;[Decimal('5E-14'), Decimal('5E-14')];0+
40K;2730.357;1;0.019;2.8E-14;['LT'];0+
40K;2746.91;3-;0.05;1.28E-13;[Decimal('3.1E-14'), Decimal('3.1E-14')];0+
40K;2756.62;2+;0.03;2.1E-14;['LT'];0+
40K;2786.645;3+;0.016;3.8E-14;['LT'];0+
40K;2787.32;3-,4-;0.21;5.5E-14;[Decimal('2.1E-14'), Decimal('2.1E-14')];0+
40K;2807.88;(1,2)-;0.07;1.4E-13;[Decimal('5E-14'), Decimal('5E-14')];0+
40K;2878.99;6+;0.12;2.7E-13;[Decimal('1.0E-13'), Decimal('1.0E-13')];0+
40K;2950.9;;0.6;3.5E-14;[Decimal('2.1E-14'), Decimal('2.1E-14')];0+
40K;2985.84;(2-,3+);0.03;6.9E-14;[Decimal('2.8E-14'), Decimal('2.8E-14')];0+
40K;3027.976;(2-,3+);0.023;5.0E-14;['LT'];0+
40K;3100.1;(4,5)+;0.6;6.9E-14;[Decimal('2.1E-14'), Decimal('2.1E-14')];0+
40K;3109.56;1+,2+;0.04;9.7E-14;['LT'];0+
40K;3128.41;(2-,3+);0.03;2.1E-14;['LT'];0+
40K;3146.5;1(-);0.05;-1;[0];0+
40K;3153.82;(2-,3);0.07;2.1E-14;['LT'];0+
40K;3228.62;2-;0.05;2.8E-14;[Decimal('2.2E-14'), Decimal('2.2E-14')];0+
40K;3293.0;UNNATURAL;10.0;-1;[0];0+
40K;3353.46;(6+);0.22;-1;[0];0+
40K;3367.94;(2,3)-;0.1;-1;[0];0+
40K;3393.65;2-;0.05;-1;[0];0+
40K;3414.34;2+;0.03;-1;[0];0+
40K;3439.18;(2+);0.03;-1;[0];0+
40K;3448.0;(3,5)+;10.0;-1;[0];0+
40K;3486.09;2-;0.04;-1;[0];0+
40K;3517.0;;15.0;-1;[0];0+
40K;3557.41;(1-,2+,3-,4+);0.08;-1;[0];0+
40K;3599.2;2-;0.03;-1;[0];0+
40K;3629.97;2-,3-;0.04;6.9E-14;['LT'];0+
40K;3663.88;(1-,2,3,4+);0.04;-1;[0];0+
40K;3712.98;(2)-;0.09;-1;[0];0+
40K;3738.49;1+;0.03;-1;[0];0+
40K;3768.4;(2)-;0.3;-1;[0];0+
40K;3797.48;1+;0.03;-1;[0];0+
40K;3821.45;2-;0.04;-1;[0];0+
40K;3840.27;(1,2+);0.03;-1;[0];0+
40K;3868.65;2-;0.05;-1;[0];0+
40K;3872.33;(7+);0.2;-1;[0];0+
40K;3887.81;(1-,2-);0.04;-1;[0];0+
40K;3898.0;;8.0;-1;[0];0+
